"entrez_id"	"final_symbol"	"ENSG_id"	"gene_symbol"	"Gencode_symbol"	"Aliase"
"11057"	"ABHD2"	"ENSG00000140526"	"ABHD2"	"ABHD2"	"HS1-2|LABH2|PHPS1-2|ABHD2"
"171586"	"ABHD3"	"ENSG00000158201"	"ABHD3"	"ABHD3"	"LABH3|ABHD3"
"63874"	"ABHD4"	"ENSG00000100439"	"ABHD4"	"ABHD4"	"ABH4|ABHD4"
"51099"	"ABHD5"	"ENSG00000011198"	"ABHD5"	"ABHD5"	"CGI58|IECN2|NCIE2|ABHD5"
"57406"	"ABHD6"	"ENSG00000163686"	"ABHD6"	"ABHD6"	"ABHD6"
"79575"	"ABHD8"	"ENSG00000127220"	"ABHD8"	"ABHD8"	"ABHD8"
"10006"	"ABI1"	"ENSG00000136754"	"ABI1"	"ABI1"	"ABI-1|ABLBP4|E3B1|NAP1BP|SSH3BP|SSH3BP1|ABI1"
"10152"	"ABI2"	"ENSG00000138443"	"ABI2"	"ABI2"	"ABI-2|ABI2B|AIP-1|AIP1|AblBP3|SSH3BP2|argBP1|argBPIA|argBPIB|ABI2"
"51225"	"ABI3"	"ENSG00000108798"	"ABI3"	"ABI3"	"NESH|SSH3BP3|ABI3"
"25890"	"ABI3BP"	"ENSG00000154175"	"ABI3BP"	"ABI3BP"	"NESHBP|TARSH|ABI3BP"
"54942"	"ABITRAM"	"ENSG00000119328"	"ABITRAM"	"ABITRAM"	"C9orf6|CG-8|FAM206A|Simiate|ABITRAM"
"25"	"ABL1"	"ENSG00000097007"	"ABL1"	"ABL1"	"ABL|BCR-ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl|ABL1"
"27"	"ABL2"	"ENSG00000143322"	"ABL2"	"ABL2"	"ABLL|ARG|ABL2"
"3983"	"ABLIM1"	"ENSG00000099204"	"ABLIM1"	"ABLIM1"	"ABLIM|LIMAB1|LIMATIN|abLIM-1|ABLIM1"
"84448"	"ABLIM2"	"ENSG00000163995"	"ABLIM2"	"ABLIM2"	"ABLIM2"
"22885"	"ABLIM3"	"ENSG00000173210"	"ABLIM3"	"ABLIM3"	"HMFN1661|ABLIM3"
"28"	"ABO"	"ENSG00000175164"	"ABO"	"ABO"	"A3GALNT|A3GALT1|GTB|NAGAT|ABO"
"29"	"ABR"	"ENSG00000159842"	"ABR"	"ABR"	"MDB|ABR"
"58527"	"ABRACL"	"ENSG00000146386"	"ABRACL"	"ABRACL"	"C6orf115|Costars|HSPC280|PRO2013|ABRACL"
"23172"	"ABRAXAS2"	"ENSG00000165660"	"ABRAXAS2"	"ABRAXAS2"	"ABRO1|FAM175B|KIAA0157|ABRAXAS2"
"80325"	"ABTB1"	"ENSG00000114626"	"ABTB1"	"ABTB1"	"BPOZ|BTB3|BTBD21|EF1ABP|PP2259|ABTB1"
"25841"	"ABTB2"	"ENSG00000166016"	"ABTB2"	"ABTB2"	"ABTB2A|BTBD22|ABTB2"
"121551"	"ABTB3"	"ENSG00000151136"	"ABTB3"	"ABTB3"	"ABTB2B|BTBD11|ABTB3"
"30"	"ACAA1"	"ENSG00000060971"	"ACAA1"	"ACAA1"	"ACAA|Lnc-Myd88|PTHIO|THIO|ACAA1"
"10449"	"ACAA2"	"ENSG00000167315"	"ACAA2"	"ACAA2"	"DSAEC|ACAA2"
"31"	"ACACA"	"ENSG00000278540"	"ACACA"	"ACACA"	"ACAC|ACACAD|ACACalpha|ACC|ACC1|ACCA|ACCalpha|Acac1|hACC1|ACACA"
"32"	"ACACB"	"ENSG00000076555"	"ACACB"	"ACACB"	"ACACbeta|ACC-beta|ACC2|ACCB|ACCbeta|HACC275|ACACB"
"80724"	"ACAD10"	"ENSG00000111271"	"ACAD10"	"ACAD10"	"ACAD10"
"84129"	"ACAD11"	"ENSG00000240303"	"ACAD11"	"ACAD11"	"ACAD-11|ACAD11"
"27034"	"ACAD8"	"ENSG00000151498"	"ACAD8"	"ACAD8"	"ACAD-8|ARC42|IBDH|ACAD8"
