gene_name	expression
AC005759.2	14
AC005771.1	0
AC005772.1	1
AC005772.2	1
AC005774.1	1
AC005775.1	1
AC005776.1	16
AC005776.2	7
AC005777.1	0
AC005785.1	12
AC005785.2	38
AC005786.1	0
AC005786.2	0
AC005786.3	3
AC005786.4	0
AC005789.1	9
AC005790.1	0
AC005796.1	0
AC005798.1	0
AC005803.1	0
AC005808.1	0
AC005821.1	1
AC005821.2	0
AC005822.1	2
AC005823.1	0
AC005823.2	0
AC005828.1	0
AC005828.2	0
AC005828.3	0
AC005828.4	2
AC005828.5	0
AC005828.6	0
AC005828.7	1
AC005829.1	3
AC005829.2	0
AC005831.1	55
AC005832.1	0
AC005832.2	0
AC005832.3	0
AC005832.4	0
AC005833.1	0
AC005833.2	34
AC005837.1	18
AC005837.2	0
AC005837.3	0
AC005838.1	0
AC005838.2	2
AC005839.1	75
AC005840.1	239
AC005840.2	5
AC005840.3	7
AC005840.4	8
AC005840.5	2
AC005841.1	1
AC005842.1	0
AC005845.1	0
AC005856.1	0
AC005858.1	0
AC005858.2	0
AC005858.3	0
AC005863.1	0
AC005865.1	0
AC005865.2	0
AC005865.3	0
AC005868.1	0
AC005871.1	0
AC005871.2	0
AC005884.1	2
AC005884.2	0
AC005888.1	0
AC005899.1	0
AC005899.2	0
AC005899.3	0
AC005899.4	0
AC005899.5	1
AC005899.6	1
AC005899.7	6
AC005899.8	0
AC005901.1	0
AC005906.1	0
AC005906.2	0
AC005906.3	0
AC005908.1	0
AC005908.2	0
AC005908.3	0
AC005909.1	0
AC005909.2	0
AC005911.1	5
AC005912.1	36
AC005912.2	0
AC005914.1	9
AC005915.1	0
AC005920.1	3
AC005920.2	1
AC005920.3	0
AC005920.4	0
AC005921.1	0
AC005921.2	0
AC005921.3	207
AC005921.4	0
AC005943.1	0
AC005943.2	1
AC005944.1	0
AC005951.1	0
AC005954.1	150
AC005954.2	0
AC005954.3	0
AC005962.1	0
AC005962.2	1
AC005972.1	0
AC005972.2	0
AC005972.3	0
AC005993.1	1
AC005996.1	0
AC005998.1	0
AC005999.1	0
AC005999.2	1
AC006001.1	8
AC006001.2	13
AC006001.3	269
AC006001.4	0
AC006003.1	0
AC006004.1	0
AC006006.1	0
AC006007.1	0
AC006008.1	3
AC006011.1	0
AC006011.2	11
AC006013.1	0
AC006015.1	0
AC006017.1	7
AC006019.1	0
AC006019.2	0
AC006019.3	0
AC006020.1	3
AC006022.1	0
AC006023.1	0
AC006023.2	0
AC006026.1	0
AC006026.2	0
AC006026.3	1
AC006027.1	1
AC006028.1	0
AC006030.1	2
AC006033.1	7
AC006033.2	5
AC006037.1	0
AC006037.2	0
AC006040.1	0
AC006041.1	0
AC006041.2	0
AC006042.1	0
AC006042.2	0
AC006042.3	24
AC006042.4	0
AC006043.1	0
AC006055.1	0
AC006058.1	0
AC006058.2	0
AC006058.3	0
AC006058.4	0
AC006059.1	3
AC006059.2	0
AC006059.3	0
AC006059.4	0
AC006059.5	2
AC006062.1	0
AC006063.1	0
AC006063.2	0
AC006063.3	0
AC006063.4	1
AC006064.1	1
AC006064.2	0
AC006064.3	4
AC006064.4	9
AC006064.5	0
AC006064.6	0
AC006065.1	0
AC006065.2	0
AC006065.3	0
AC006065.4	2
AC006065.5	1
AC006065.6	0
AC006076.1	0
AC006077.1	0
AC006077.2	30
AC006111.1	0
AC006111.2	0
AC006111.3	0
AC006112.1	0
AC006115.1	0
AC006115.2	1
AC006116.1	5
AC006116.10	1
AC006116.11	0
AC006116.2	3
AC006116.3	0
AC006116.4	0
AC006116.5	4
AC006116.6	0
AC006116.7	3
AC006116.8	2
AC006116.9	0
AC006122.1	0
AC006128.1	2
AC006130.1	0
AC006130.2	0
AC006130.3	1
AC006133.1	0
AC006141.1	94
AC006144.1	0
AC006144.2	0
AC006145.1	0
AC006146.1	0
AC006148.1	4
AC006148.2	0
AC006150.1	0
AC006153.1	0
AC006157.1	11
AC006158.1	0
AC006158.2	0
AC006158.3	0
AC006159.1	0
AC006159.2	0
AC006160.1	5
AC006160.2	0
AC006195.1	4
AC006197.1	0
AC006197.2	0
AC006199.1	0
AC006205.1	1
AC006205.2	3
AC006206.1	1
AC006206.2	0
AC006207.1	3
AC006210.1	0
AC006210.2	0
AC006213.1	0
AC006213.2	3
AC006213.3	1
AC006213.4	2
AC006213.5	0
AC006213.6	3
AC006213.7	1
AC006230.1	18
AC006236.1	0
AC006237.1	0
AC006238.1	3
AC006238.2	0
AC006249.1	0
AC006252.1	4
AC006254.1	5
AC006254.2	0
AC006254.3	0
AC006262.1	0
AC006262.2	0
AC006262.3	0
AC006262.4	1
AC006270.1	0
AC006270.2	0
AC006270.3	0
AC006272.1	0
AC006272.2	0
AC006273.1	0
AC006277.1	0
AC006288.1	1
AC006296.1	0
AC006296.2	0
AC006296.3	0
AC006299.1	3
AC006305.1	3
AC006305.2	0
AC006305.3	0
AC006326.1	0
AC006328.1	0
AC006328.2	0
AC006329.1	15
AC006329.2	0
AC006330.1	17
AC006333.1	1
AC006333.2	20
AC006335.1	0
AC006335.2	0
AC006338.1	0
AC006338.2	0
AC006348.1	0
AC006349.1	0
AC006355.1	0
AC006355.2	0
AC006357.1	0
AC006362.1	0
AC006363.1	1
AC006364.1	0
AC006366.1	0
AC006369.1	1
AC006369.2	0
AC006372.1	0
AC006372.2	0
AC006372.3	1
AC006372.4	0
AC006378.1	0
AC006378.2	3
AC006380.1	0
AC006386.1	0
AC006386.2	0
AC006387.1	0
AC006390.1	0
AC006398.1	0
AC006427.1	0
AC006427.2	0
AC006435.1	0
AC006435.2	4
AC006435.3	0
AC006435.4	0
AC006435.5	0
AC006441.1	1
AC006441.2	0
AC006441.3	0
AC006441.4	0
