[gene_name]	expression
AC004691.2	0
AC004692.1	2
AC004692.2	0
AC004696.1	0
AC004696.2	0
AC004702.1	0
AC004704.1	8
AC004706.1	3
AC004706.2	0
AC004706.3	58
AC004707.1	1
AC004765.1	0
AC004771.1	3
AC004771.2	0
AC004771.3	78
AC004771.4	5
AC004771.5	0
AC004775.1	0
AC004777.1	0
AC004784.1	5
AC004790.1	0
AC004790.2	0
AC004792.1	0
AC004797.1	13
AC004801.1	0
AC004801.2	42
AC004801.3	5
AC004801.4	1
AC004801.5	2
AC004801.6	16
AC004801.7	1
AC004803.1	73
AC004805.1	0
AC004805.2	0
AC004805.3	0
AC004808.1	0
AC004808.2	0
AC004812.1	0
AC004812.2	35
AC004816.1	1
AC004816.2	0
AC004817.1	0
AC004817.2	0
AC004817.3	1
AC004817.4	0
AC004817.5	6
AC004825.1	0
AC004825.2	16
AC004825.3	0
AC004828.1	0
AC004828.2	2
AC004830.1	0
AC004832.1	0
AC004832.2	0
AC004832.3	0
AC004832.4	1
AC004832.5	1
AC004832.6	4
AC004834.1	5
AC004835.1	1
AC004835.2	0
AC004836.1	0
AC004837.1	0
AC004837.2	1
AC004837.3	0
AC004837.4	14
AC004839.1	2
AC004840.1	9
AC004840.2	3
AC004846.1	33
AC004846.2	113
AC004847.1	221
AC004852.1	0
AC004852.2	1
AC004852.3	0
AC004853.1	0
AC004854.1	4
AC004854.2	95
AC004858.1	12
AC004862.1	0
AC004863.1	0
AC004865.1	0
AC004865.2	19
AC004866.1	0
AC004866.2	0
AC004869.1	0
AC004869.2	0
AC004870.1	0
AC004870.2	1
AC004870.3	3
AC004870.4	3
AC004875.1	0
AC004877.1	12
AC004877.2	4
AC004879.1	0
AC004882.1	1
AC004882.2	0
AC004882.3	0
AC004884.1	0
AC004884.2	0
AC004888.1	0
AC004889.1	25
AC004890.1	21
AC004890.2	47
AC004890.3	0
AC004893.1	58
AC004893.2	0
AC004893.3	77
AC004895.1	1
AC004898.1	3
AC004899.1	0
AC004899.2	1
AC004900.1	1
AC004906.1	0
AC004908.1	0
AC004908.2	17
AC004908.3	4
AC004910.1	3
AC004911.1	0
AC004917.1	2
AC004918.1	54
AC004918.4	155
AC004920.1	0
AC004921.1	1
AC004921.2	1
AC004922.1	38
AC004923.1	2
AC004923.2	0
AC004923.3	0
AC004923.4	3
AC004925.1	2
AC004930.1	0
AC004936.1	2
AC004938.1	1
AC004938.2	41
AC004941.1	0
AC004941.2	0
AC004943.1	9
AC004943.2	89
AC004943.3	2
AC004944.1	2
AC004945.1	0
AC004946.1	0
AC004946.2	0
AC004947.1	0
AC004947.2	0
AC004947.3	3
AC004948.1	2
AC004949.1	0
AC004951.1	139
AC004951.2	45
AC004951.3	12
AC004951.4	15
AC004965.1	0
AC004967.1	8
AC004967.2	44
AC004969.1	0
AC004972.1	0
AC004973.1	0
AC004974.1	0
AC004975.1	0
AC004975.2	0
AC004980.1	243
AC004980.2	0
AC004980.3	2
AC004980.4	1
AC004982.1	13
AC004982.2	34
AC004986.1	0
AC004987.1	0
AC004987.2	1
AC004987.3	3
AC004987.4	1
AC004988.1	0
AC004990.1	26
AC004994.1	0
AC004997.1	0
AC005000.1	2
AC005000.2	1
AC005002.1	1
AC005002.2	0
AC005005.1	0
AC005005.2	0
AC005005.3	6
AC005005.4	7
AC005006.1	0
AC005008.1	0
AC005008.2	0
AC005009.1	2
AC005009.2	2
AC005011.1	0
AC005013.1	0
AC005014.1	3
AC005014.2	1
AC005014.3	0
AC005014.4	0
AC005019.1	1
AC005019.2	1
AC005020.1	0
AC005020.2	0
AC005021.1	1
AC005033.1	2
AC005034.1	0
AC005034.2	0
AC005034.3	0
AC005034.4	0
AC005034.5	6
AC005034.6	1
AC005037.1	90
AC005040.1	0
AC005040.2	2
AC005041.1	0
AC005041.2	0
AC005041.3	4
AC005041.4	2
AC005041.5	8
AC005042.1	8
AC005042.2	0
AC005042.3	0
AC005046.1	8
AC005050.1	4
AC005050.2	0
AC005050.3	9
AC005052.1	21
AC005052.2	7
AC005062.1	0
AC005064.1	2
AC005066.1	1
AC005070.1	0
AC005070.2	0
AC005070.3	90
AC005071.1	0
AC005072.1	128
AC005076.1	21
AC005077.1	1
AC005077.2	2
AC005077.3	0
AC005077.4	8
AC005081.1	1
AC005082.1	8
AC005082.2	2
AC005083.1	2
AC005084.1	0
AC005086.1	0
AC005086.2	2
AC005086.3	4
AC005086.4	0
AC005088.1	0
AC005089.1	5
AC005090.1	0
AC005091.1	6
AC005094.1	1
AC005096.1	0
AC005099.1	0
AC005100.1	0
AC005100.2	0
AC005102.1	0
AC005104.1	1
AC005104.2	2
AC005104.3	0
AC005105.1	0
AC005144.1	5
AC005153.1	1
AC005154.1	0
AC005154.2	30
AC005154.3	0
AC005154.4	0
AC005154.5	0
AC005156.1	14
AC005160.1	0
AC005162.1	0
AC005162.2	1
AC005162.3	1
AC005165.1	9
AC005165.2	1
AC005165.3	2
AC005176.1	0
AC005176.2	0
AC005178.1	0
AC005180.1	1
AC005180.2	0
AC005181.1	0
AC005183.1	1
AC005185.1	0
AC005186.1	3
AC005189.1	5
AC005191.1	0
AC005197.1	4
AC005208.1	2
AC005209.1	0
AC005220.1	6
AC005224.1	2
AC005224.2	13
AC005224.3	77
AC005225.1	0
AC005225.2	3
AC005225.3	3
AC005225.4	40
AC005229.1	0
AC005229.2	0
AC005229.3	0
AC005229.4	24
AC005229.5	1
AC005230.1	0
AC005232.1	2
AC005234.1	0
AC005234.2	0
AC005237.1	1
AC005237.2	0
AC005244.1	16
AC005244.2	0
AC005252.1	1
AC005252.2	0
AC005252.3	0
AC005252.4	0
AC005253.1	0
AC005253.2	1
AC005255.1	157
AC005255.2	0
AC005256.1	0
AC005258.1	0
AC005258.2	5
AC005261.1	296
AC005261.2	854
AC005261.3	5
AC005261.4	1
AC005261.5	0
AC005261.6	0
AC005262.1	9
AC005262.2	7
AC005264.1	19
AC005274.1	0
AC005277.1	11
AC005277.2	0
AC005280.1	2
AC005280.2	1
AC005280.3	0
AC005281.1	0
AC005288.1	12
AC005291.1	0
AC005291.2	0
AC005293.1	1
AC005294.1	1
AC005296.1	0
AC005297.1	0
AC005297.2	0
AC005297.3	0
AC005300.1	3
AC005301.1	0
AC005301.2	1
AC005303.1	0
AC005304.1	1
AC005304.2	0
AC005304.3	3
AC005306.1	84
AC005307.1	8
AC005323.1	0
AC005323.2	0
AC005324.1	0
AC005324.2	0
AC005324.3	3
AC005324.4	0
AC005324.5	0
AC005324.6	0
AC005326.1	0
AC005329.1	30
AC005329.2	1
AC005329.3	2
AC005330.1	2
AC005332.1	73
AC005332.2	21
AC005332.3	45
AC005332.4	220
AC005332.5	140
AC005332.6	393
AC005332.7	17
AC005336.1	2
AC005336.2	0
AC005336.3	1
AC005339.1	24
AC005341.1	0
AC005342.1	0
AC005342.2	9
AC005343.1	1
AC005343.4	2
AC005344.1	0
AC005345.1	0
AC005351.1	0
AC005355.1	0
AC005355.2	2
AC005357.1	1
AC005357.2	0
AC005358.1	1
AC005358.2	1
AC005363.1	0
AC005363.2	2
AC005377.1	0
AC005379.1	0
AC005381.1	3
AC005383.1	2
AC005387.1	0
AC005387.2	0
AC005391.1	22
AC005392.1	0
AC005392.2	4
AC005392.3	0
AC005393.1	0
AC005394.1	0
AC005394.2	6
AC005400.1	0
AC005410.1	0
AC005410.2	5
AC005412.1	0
AC005414.1	0
AC005476.1	0
AC005476.2	1
AC005479.1	5
AC005479.2	1
AC005480.1	8
AC005480.2	2
AC005481.1	8
AC005482.1	0
AC005486.1	0
AC005487.1	0
AC005495.1	4
AC005495.2	0
AC005498.1	0
AC005498.2	7
AC005498.3	18
AC005514.1	1
AC005515.1	2
AC005515.2	0
AC005518.1	0
AC005518.2	0
AC005519.1	58
AC005520.1	32
AC005520.2	19
AC005520.3	57
AC005520.4	0
AC005520.5	11
AC005521.1	0
AC005522.1	0
AC005523.1	3
AC005523.2	9
AC005524.1	0
AC005529.1	3
AC005531.1	4
AC005532.1	16
AC005532.2	18
AC005534.1	81
AC005534.2	2
AC005537.1	8
AC005538.1	0
AC005538.2	0
AC005538.3	3
AC005539.1	1
AC005540.1	22
AC005544.1	0
AC005544.2	1
AC005546.1	18
AC005548.1	0
AC005549.1	0
AC005550.1	0
AC005550.2	0
AC005551.1	1
AC005552.1	0
AC005559.1	0
AC005562.1	15
AC005562.2	0
AC005578.1	15
AC005580.1	2
AC005586.1	3
AC005586.2	0
AC005587.1	0
AC005588.1	0
